location,year,month,1,2,3,4,5
"Bangkok University Rangsit Campus, Pathum Thani",2016,8,1.0,0.0,3.0,1.0,0.0
"Bangkok University Rangsit Campus, Pathum Thani",2016,9,3.0,3.0,3.0,1.0,1.0
"Bangkok University Rangsit Campus, Pathum Thani",2016,10,5.0,6.0,2.0,6.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2016,11,12.0,1.0,5.0,4.0,8.0
"Bangkok University Rangsit Campus, Pathum Thani",2016,12,8.0,7.0,4.0,6.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2017,1,6.0,3.0,7.0,9.0,2.0
"Bangkok University Rangsit Campus, Pathum Thani",2017,2,2.0,2.0,1.0,1.0,1.0
"Bangkok University Rangsit Campus, Pathum Thani",2017,3,4.0,0.0,3.0,1.0,1.0
"Bangkok University Rangsit Campus, Pathum Thani",2017,4,4.0,2.0,10.0,6.0,8.0
"Bangkok University Rangsit Campus, Pathum Thani",2017,5,11.0,3.0,6.0,8.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2017,6,5.0,7.0,3.0,3.0,10.0
"Bangkok University Rangsit Campus, Pathum Thani",2017,7,3.0,4.0,4.0,3.0,2.0
"Bangkok University Rangsit Campus, Pathum Thani",2017,8,7.0,6.0,6.0,2.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2018,3,9.0,5.0,4.0,3.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2018,4,1.0,4.0,1.0,3.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2018,7,7.0,2.0,3.0,1.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2018,8,7.0,4.0,5.0,8.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2018,9,9.0,6.0,5.0,4.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2018,10,5.0,8.0,5.0,8.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2018,11,8.0,4.0,5.0,8.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2018,12,4.0,7.0,8.0,7.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,1,6.0,9.0,3.0,6.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,2,5.0,5.0,5.0,6.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,3,7.0,8.0,7.0,5.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,4,5.0,7.0,6.0,5.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,5,8.0,8.0,8.0,3.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,6,8.0,9.0,5.0,7.0,1.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,7,6.0,6.0,9.0,4.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,8,4.0,7.0,5.0,8.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,9,3.0,7.0,7.0,5.0,8.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,10,5.0,4.0,7.0,6.0,9.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,11,9.0,8.0,5.0,4.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2019,12,7.0,5.0,7.0,4.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,1,8.0,5.0,7.0,6.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,2,4.0,5.0,8.0,3.0,9.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,3,3.0,6.0,8.0,8.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,4,5.0,7.0,5.0,10.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,5,4.0,2.0,10.0,9.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,6,6.0,2.0,10.0,9.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,7,5.0,2.0,9.0,4.0,11.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,8,6.0,4.0,9.0,6.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,9,4.0,3.0,7.0,7.0,9.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,10,9.0,8.0,4.0,6.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,11,5.0,6.0,7.0,6.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2020,12,8.0,3.0,7.0,2.0,11.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,1,7.0,9.0,4.0,6.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,2,7.0,7.0,3.0,4.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,3,5.0,7.0,8.0,5.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,4,8.0,6.0,7.0,2.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,5,6.0,8.0,7.0,4.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,6,7.0,8.0,8.0,5.0,2.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,7,8.0,5.0,5.0,6.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,8,5.0,9.0,6.0,7.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,9,6.0,5.0,5.0,4.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,10,4.0,11.0,5.0,8.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,11,5.0,8.0,5.0,5.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2021,12,3.0,7.0,9.0,5.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,1,4.0,14.0,2.0,7.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,2,4.0,8.0,8.0,3.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,3,4.0,7.0,4.0,10.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,4,8.0,5.0,6.0,3.0,8.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,5,6.0,1.0,6.0,11.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,6,7.0,7.0,4.0,6.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,7,3.0,9.0,7.0,7.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,8,4.0,6.0,5.0,6.0,10.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,9,5.0,7.0,13.0,4.0,1.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,10,3.0,7.0,7.0,5.0,9.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,11,5.0,10.0,7.0,4.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2022,12,8.0,4.0,6.0,5.0,8.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,1,3.0,2.0,10.0,6.0,10.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,2,2.0,4.0,9.0,7.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,3,5.0,3.0,9.0,8.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,4,10.0,4.0,5.0,7.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,5,6.0,5.0,6.0,9.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,6,3.0,5.0,7.0,8.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,7,3.0,5.0,8.0,6.0,9.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,8,7.0,6.0,6.0,5.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,9,7.0,8.0,3.0,6.0,6.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,10,7.0,7.0,5.0,5.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,11,6.0,4.0,7.0,6.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2023,12,5.0,6.0,5.0,5.0,10.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,1,8.0,4.0,7.0,8.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,2,5.0,5.0,3.0,12.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,3,8.0,5.0,7.0,4.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,4,8.0,7.0,3.0,5.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,5,8.0,5.0,9.0,5.0,4.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,6,6.0,2.0,3.0,12.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,7,7.0,5.0,8.0,8.0,3.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,8,5.0,6.0,10.0,5.0,5.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,9,2.0,5.0,7.0,9.0,7.0
"Bangkok University Rangsit Campus, Pathum Thani",2024,10,3.0,2.0,0.0,4.0,2.0
"National Housing Authority Bangplee, Samut Prakan",2014,1,7.0,6.0,5.0,2.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2014,2,3.0,8.0,4.0,3.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2014,3,5.0,5.0,8.0,3.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2014,4,6.0,5.0,4.0,8.0,1.0
"National Housing Authority Bangplee, Samut Prakan",2014,5,6.0,4.0,5.0,9.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2014,6,7.0,8.0,4.0,3.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2014,7,2.0,9.0,9.0,8.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2014,8,6.0,9.0,7.0,2.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2014,9,3.0,3.0,7.0,8.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2014,10,5.0,7.0,5.0,8.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2014,11,4.0,6.0,11.0,5.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2014,12,7.0,3.0,8.0,7.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2015,1,9.0,1.0,6.0,4.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2015,2,4.0,2.0,1.0,4.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2015,3,5.0,10.0,5.0,4.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2015,4,5.0,7.0,4.0,5.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2015,5,3.0,4.0,5.0,2.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2015,6,3.0,8.0,3.0,6.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2015,7,1.0,0.0,2.0,1.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2015,8,1.0,0.0,0.0,1.0,0.0
"National Housing Authority Bangplee, Samut Prakan",2015,9,9.0,6.0,4.0,7.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2015,10,5.0,8.0,6.0,3.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2015,11,4.0,4.0,1.0,8.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2015,12,0.0,0.0,0.0,0.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2016,1,2.0,5.0,4.0,4.0,0.0
"National Housing Authority Bangplee, Samut Prakan",2016,6,0.0,4.0,0.0,1.0,1.0
"National Housing Authority Bangplee, Samut Prakan",2016,7,4.0,0.0,3.0,0.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2016,8,4.0,5.0,4.0,5.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2016,9,5.0,10.0,2.0,4.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2016,10,5.0,6.0,4.0,2.0,2.0
"National Housing Authority Bangplee, Samut Prakan",2016,11,3.0,6.0,1.0,4.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2016,12,5.0,1.0,6.0,4.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2017,1,6.0,4.0,2.0,8.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2017,2,0.0,1.0,0.0,1.0,0.0
"National Housing Authority Bangplee, Samut Prakan",2017,5,1.0,3.0,2.0,1.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2017,6,8.0,7.0,4.0,6.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2017,7,5.0,5.0,10.0,6.0,2.0
"National Housing Authority Bangplee, Samut Prakan",2017,8,6.0,5.0,7.0,7.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2017,9,7.0,6.0,4.0,7.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2017,10,5.0,8.0,4.0,6.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2017,11,4.0,2.0,4.0,12.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2017,12,7.0,3.0,2.0,7.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2018,1,5.0,2.0,1.0,1.0,1.0
"National Housing Authority Bangplee, Samut Prakan",2018,2,5.0,5.0,4.0,9.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2018,3,4.0,5.0,5.0,10.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2018,4,6.0,4.0,8.0,3.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2018,5,2.0,8.0,6.0,7.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2018,6,6.0,4.0,2.0,7.0,11.0
"National Housing Authority Bangplee, Samut Prakan",2018,7,5.0,7.0,5.0,10.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2018,8,7.0,10.0,6.0,5.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2018,9,4.0,6.0,4.0,9.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2018,10,2.0,6.0,7.0,9.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2018,11,9.0,1.0,8.0,7.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2018,12,5.0,6.0,5.0,11.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2019,1,8.0,4.0,6.0,6.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2019,2,6.0,8.0,5.0,5.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2019,3,10.0,2.0,6.0,7.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2019,4,9.0,8.0,4.0,6.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2019,5,4.0,7.0,8.0,5.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2019,6,7.0,6.0,4.0,8.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2019,7,7.0,6.0,5.0,3.0,10.0
"National Housing Authority Bangplee, Samut Prakan",2019,8,6.0,10.0,2.0,7.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2019,9,7.0,7.0,6.0,5.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2019,10,7.0,5.0,6.0,4.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2019,11,8.0,4.0,7.0,5.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2019,12,10.0,4.0,7.0,6.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2020,1,9.0,4.0,5.0,5.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2020,2,2.0,9.0,4.0,3.0,11.0
"National Housing Authority Bangplee, Samut Prakan",2020,3,6.0,5.0,7.0,8.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2020,4,6.0,6.0,4.0,8.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2020,5,6.0,6.0,5.0,5.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2020,6,7.0,2.0,10.0,6.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2020,7,6.0,7.0,7.0,8.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2020,8,6.0,3.0,5.0,7.0,10.0
"National Housing Authority Bangplee, Samut Prakan",2020,9,4.0,4.0,7.0,8.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2020,10,8.0,3.0,7.0,4.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2020,11,5.0,7.0,6.0,6.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2020,12,3.0,8.0,6.0,5.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2021,1,6.0,3.0,9.0,8.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2021,2,7.0,2.0,6.0,4.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2021,3,6.0,7.0,5.0,5.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2021,4,8.0,4.0,10.0,3.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2021,5,4.0,7.0,11.0,4.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2021,6,6.0,8.0,1.0,6.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2021,7,8.0,4.0,5.0,4.0,10.0
"National Housing Authority Bangplee, Samut Prakan",2021,8,3.0,9.0,7.0,5.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2021,9,6.0,10.0,5.0,3.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2021,10,12.0,5.0,3.0,6.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2021,11,7.0,5.0,6.0,4.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2021,12,3.0,5.0,9.0,9.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2022,1,6.0,9.0,5.0,6.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2022,2,8.0,4.0,10.0,1.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2022,3,11.0,3.0,3.0,7.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2022,4,5.0,8.0,4.0,5.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2022,5,5.0,4.0,7.0,7.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2022,6,4.0,9.0,5.0,5.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2022,7,8.0,5.0,8.0,4.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2022,8,11.0,9.0,5.0,2.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2022,9,11.0,6.0,4.0,4.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2022,10,7.0,7.0,6.0,6.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2022,11,8.0,5.0,5.0,6.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2022,12,8.0,6.0,8.0,3.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2023,1,8.0,6.0,9.0,4.0,4.0
"National Housing Authority Bangplee, Samut Prakan",2023,2,7.0,8.0,3.0,4.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2023,3,6.0,5.0,3.0,7.0,10.0
"National Housing Authority Bangplee, Samut Prakan",2023,4,11.0,2.0,6.0,4.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2023,5,4.0,8.0,3.0,10.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2023,6,5.0,3.0,9.0,6.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2023,7,7.0,6.0,4.0,6.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2023,8,9.0,4.0,8.0,7.0,3.0
"National Housing Authority Bangplee, Samut Prakan",2023,9,11.0,4.0,2.0,6.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2023,10,3.0,3.0,6.0,10.0,9.0
"National Housing Authority Bangplee, Samut Prakan",2023,11,10.0,6.0,3.0,6.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2023,12,7.0,4.0,5.0,7.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2024,1,9.0,7.0,4.0,6.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2024,2,5.0,5.0,5.0,9.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2024,3,8.0,4.0,4.0,3.0,12.0
"National Housing Authority Bangplee, Samut Prakan",2024,4,4.0,6.0,7.0,5.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2024,5,4.0,5.0,7.0,7.0,8.0
"National Housing Authority Bangplee, Samut Prakan",2024,6,9.0,10.0,8.0,3.0,0.0
"National Housing Authority Bangplee, Samut Prakan",2024,7,8.0,4.0,8.0,6.0,5.0
"National Housing Authority Bangplee, Samut Prakan",2024,8,7.0,5.0,4.0,7.0,6.0
"National Housing Authority Bangplee, Samut Prakan",2024,9,5.0,4.0,5.0,5.0,7.0
"National Housing Authority Bangplee, Samut Prakan",2024,10,2.0,2.0,4.0,2.0,1.0
"Ratburana Post Office, Bangkok",2014,1,5.0,2.0,8.0,5.0,6.0
"Ratburana Post Office, Bangkok",2014,2,3.0,1.0,5.0,8.0,10.0
"Ratburana Post Office, Bangkok",2014,3,7.0,5.0,4.0,4.0,4.0
"Ratburana Post Office, Bangkok",2014,4,7.0,5.0,4.0,3.0,5.0
"Ratburana Post Office, Bangkok",2014,5,7.0,6.0,8.0,6.0,4.0
"Ratburana Post Office, Bangkok",2014,6,10.0,5.0,4.0,6.0,5.0
"Ratburana Post Office, Bangkok",2014,7,6.0,4.0,9.0,7.0,5.0
"Ratburana Post Office, Bangkok",2014,8,8.0,3.0,4.0,10.0,6.0
"Ratburana Post Office, Bangkok",2014,9,6.0,4.0,2.0,6.0,8.0
"Ratburana Post Office, Bangkok",2014,10,4.0,11.0,5.0,5.0,3.0
"Ratburana Post Office, Bangkok",2014,11,6.0,5.0,8.0,6.0,5.0
"Ratburana Post Office, Bangkok",2014,12,9.0,3.0,2.0,6.0,9.0
"Ratburana Post Office, Bangkok",2015,1,4.0,7.0,5.0,3.0,5.0
"Ratburana Post Office, Bangkok",2015,2,2.0,3.0,5.0,3.0,4.0
"Ratburana Post Office, Bangkok",2015,3,5.0,5.0,7.0,5.0,8.0
"Ratburana Post Office, Bangkok",2015,4,11.0,3.0,4.0,4.0,3.0
"Ratburana Post Office, Bangkok",2015,5,2.0,4.0,2.0,5.0,6.0
"Ratburana Post Office, Bangkok",2015,6,5.0,6.0,6.0,3.0,6.0
"Ratburana Post Office, Bangkok",2015,7,3.0,0.0,1.0,2.0,1.0
"Ratburana Post Office, Bangkok",2015,8,2.0,0.0,0.0,0.0,0.0
"Ratburana Post Office, Bangkok",2015,9,4.0,6.0,2.0,8.0,10.0
"Ratburana Post Office, Bangkok",2015,10,3.0,3.0,8.0,5.0,9.0
"Ratburana Post Office, Bangkok",2015,11,5.0,3.0,5.0,3.0,7.0
"Ratburana Post Office, Bangkok",2015,12,0.0,1.0,1.0,1.0,0.0
"Ratburana Post Office, Bangkok",2016,1,4.0,2.0,1.0,2.0,6.0
"Ratburana Post Office, Bangkok",2016,6,0.0,1.0,0.0,3.0,2.0
"Ratburana Post Office, Bangkok",2016,7,1.0,3.0,2.0,2.0,2.0
"Ratburana Post Office, Bangkok",2016,8,2.0,5.0,2.0,6.0,7.0
"Ratburana Post Office, Bangkok",2016,9,3.0,8.0,8.0,3.0,8.0
"Ratburana Post Office, Bangkok",2016,10,2.0,6.0,5.0,4.0,2.0
"Ratburana Post Office, Bangkok",2016,11,5.0,2.0,3.0,2.0,7.0
"Ratburana Post Office, Bangkok",2016,12,4.0,3.0,5.0,4.0,3.0
"Ratburana Post Office, Bangkok",2017,1,3.0,10.0,6.0,4.0,4.0
"Ratburana Post Office, Bangkok",2017,2,1.0,0.0,1.0,0.0,0.0
"Ratburana Post Office, Bangkok",2017,5,0.0,3.0,1.0,0.0,6.0
"Ratburana Post Office, Bangkok",2017,6,4.0,3.0,5.0,9.0,9.0
"Ratburana Post Office, Bangkok",2017,7,7.0,6.0,8.0,2.0,5.0
"Ratburana Post Office, Bangkok",2017,8,6.0,7.0,4.0,9.0,5.0
"Ratburana Post Office, Bangkok",2017,9,3.0,4.0,8.0,9.0,5.0
"Ratburana Post Office, Bangkok",2017,10,4.0,4.0,4.0,10.0,9.0
"Ratburana Post Office, Bangkok",2017,11,4.0,9.0,6.0,6.0,5.0
"Ratburana Post Office, Bangkok",2017,12,6.0,8.0,7.0,1.0,5.0
"Ratburana Post Office, Bangkok",2018,1,2.0,1.0,5.0,1.0,1.0
"Ratburana Post Office, Bangkok",2018,2,6.0,1.0,7.0,11.0,3.0
"Ratburana Post Office, Bangkok",2018,3,2.0,10.0,8.0,3.0,8.0
"Ratburana Post Office, Bangkok",2018,4,7.0,4.0,8.0,3.0,8.0
"Ratburana Post Office, Bangkok",2018,5,6.0,8.0,4.0,5.0,8.0
"Ratburana Post Office, Bangkok",2018,6,9.0,6.0,5.0,4.0,6.0
"Ratburana Post Office, Bangkok",2018,7,7.0,9.0,6.0,3.0,6.0
"Ratburana Post Office, Bangkok",2018,8,10.0,5.0,5.0,7.0,4.0
"Ratburana Post Office, Bangkok",2018,9,6.0,9.0,6.0,6.0,3.0
"Ratburana Post Office, Bangkok",2018,10,3.0,11.0,4.0,5.0,8.0
"Ratburana Post Office, Bangkok",2018,11,11.0,5.0,3.0,7.0,4.0
"Ratburana Post Office, Bangkok",2018,12,6.0,8.0,4.0,5.0,8.0
"Ratburana Post Office, Bangkok",2019,1,3.0,6.0,9.0,7.0,6.0
"Ratburana Post Office, Bangkok",2019,2,8.0,4.0,9.0,3.0,4.0
"Ratburana Post Office, Bangkok",2019,3,9.0,6.0,5.0,4.0,7.0
"Ratburana Post Office, Bangkok",2019,4,6.0,5.0,6.0,9.0,4.0
"Ratburana Post Office, Bangkok",2019,5,6.0,6.0,2.0,11.0,6.0
"Ratburana Post Office, Bangkok",2019,6,6.0,8.0,5.0,8.0,3.0
